Timestamp (s),Time Format (HH:MM:SS),Value
9310.000,02:35:10,47640
9312.000,02:35:12,47640
9314.000,02:35:14,47640
9316.000,02:35:16,4764.0
9318.000,02:35:18,4764.0
9320.000,02:35:20,4764.0
9322.000,02:35:22,4764.0
9324.000,02:35:24,4764.0
9326.000,02:35:26,47640
9328.000,02:35:28,4763.5
9330.000,02:35:30,4763.5
9332.000,02:35:32,4763.5
9334.000,02:35:34,4763.5
9336.000,02:35:36,4763.5
9338.000,02:35:38,
9340.000,02:35:40,
9342.000,02:35:42,4763.0
9344.000,02:35:44,4763.0
9346.000,02:35:46,4763.0
9348.000,02:35:48,4763.0
9350.000,02:35:50,4763.0
9352.000,02:35:52,4763.0
9354.000,02:35:54,4763.0
9356.000,02:35:56,4763.0
9358.000,02:35:58,4763.0
9360.000,02:36:00,4762.5
9362.000,02:36:02,4762.5
9364.000,02:36:04,4762.5
9366.000,02:36:06,4762.5
9368.000,02:36:08,4762.5
9370.000,02:36:10,4762.5
9372.000,02:36:12,4762.5
9374.000,02:36:14,4762.5
9376.000,02:36:16,4762.5
9378.000,02:36:18,4762.5
9380.000,02:36:20,4762.0
9382.000,02:36:22,4762.0
9384.000,02:36:24,4762.0
9386.000,02:36:26,47620
9388.000,02:36:28,4762.0
9390.000,02:36:30,4762.0
9392.000,02:36:32,4762.0
9394.000,02:36:34,4762.0
9396.000,02:36:36,4762.0
9398.000,02:36:38,47620
9400.000,02:36:40,47615
9402.000,02:36:42,47615
9404.000,02:36:44,47615
9406.000,02:36:46,47615
9408.000,02:36:48,47615
9410.000,02:36:50,4761.0
9412.000,02:36:52,4761.0
9414.000,02:36:54,4761.0
9416.000,02:36:56,4761.0
9418.000,02:36:58,4761.0
9420.000,02:37:00,4761.0
9422.000,02:37:02,4761.0
9424.000,02:37:04,4761.0
9426.000,02:37:06,4761.0
9428.000,02:37:08,4761.0
9430.000,02:37:10,4761.0
9432.000,02:37:12,4761.0
9434.000,02:37:14,4761.0
9436.000,02:37:16,4760.5
9438.000,02:37:18,4760.5
9440.000,02:37:20,4760.5
9442.000,02:37:22,4760.5
9444.000,02:37:24,4760.5
9446.000,02:37:26,
9448.000,02:37:28,47605
9450.000,02:37:30,47605
9452.000,02:37:32,47605
9454.000,02:37:34,47600
9456.000,02:37:36,47600
9458.000,02:37:38,47600
9460.000,02:37:40,47600
9462.000,02:37:42,47600
9464.000,02:37:44,47600
9466.000,02:37:46,47600
9468.000,02:37:48,47600
9470.000,02:37:50,47600
9472.000,02:37:52,47600
9474.000,02:37:54,47505
9476.000,02:37:56,47505
9478.000,02:37:58,47505
9480.000,02:38:00,47505
9482.000,02:38:02,47505
9484.000,02:38:04,47505
9486.000,02:38:06,47505
9488.000,02:38:08,47505
9490.000,02:38:10,47505
9492.000,02:38:12,4750.0
9494.000,02:38:14,4750.0
9496.000,02:38:16,4750.0
9498.000,02:38:18,4750.0
9500.000,02:38:20,4750.0
9502.000,02:38:22,4750.0
9504.000,02:38:24,4750.0
9506.000,02:38:26,4759.0
9508.000,02:38:28,4750.0
9510.000,02:38:30,4750.0
9512.000,02:38:32,4750.0
9514.000,02:38:34,4750.0
9516.000,02:38:36,4750.0
9518.000,02:38:38,4750.0
9520.000,02:38:40,47585
9522.000,02:38:42,47585
9524.000,02:38:44,47585
9526.000,02:38:46,47585
9528.000,02:38:48,47585
9530.000,02:38:50,47585
9532.000,02:38:52,47585
9534.000,02:38:54,47585
9536.000,02:38:56,47585
9538.000,02:38:58,4758.0
9540.000,02:39:00,4758.0
9542.000,02:39:02,4758.0
9544.000,02:39:04,4758.0
9546.000,02:39:06,4758.0
9548.000,02:39:08,4758.0
9550.000,02:39:10,47580
9552.000,02:39:12,47580
9554.000,02:39:14,47580
9556.000,02:39:16,47580
9558.000,02:39:18,47580
9560.000,02:39:20,47515
9562.000,02:39:22,47515
9564.000,02:39:24,47515
9566.000,02:39:26,47515
9568.000,02:39:28,47515
9570.000,02:39:30,47515
9572.000,02:39:32,47515
9574.000,02:39:34,47515
9576.000,02:39:36,47515
9578.000,02:39:38,47515
9580.000,02:39:40,47510
9582.000,02:39:42,4751.0
9584.000,02:39:44,4751.0
9586.000,02:39:46,4751.0
9588.000,02:39:48,4751.0
9590.000,02:39:50,4751.0
9592.000,02:39:52,4751.0
9594.000,02:39:54,4751.0
